"id","name","level","fig_notation","tariff","shape_bonus","start_position","end_position","short_description","long_description","coaching_points","prereq","lateral_prog","linear_prog","vid","starred","learned"
"11","Full Twist to Feet (from seat)","Seat","0 2","0.2","0","Seat","Seat",,,,,,,,"0","0"
"12","Roller","Seat","0 2","0.2","0","Seat","Seat","Full twist from seat to seat rotating around the longitudinal axis. The same axis as normal full twists",,,,,,,"0","1"
"13","Front Drop","Front","1 -","0.1","0","Feet","Front",,,,,"[""Log Roll"",""Tom Cruise"",""Half Twist to Back Drop"",""Full Twist to Back Drop""]","[""Turnover/Bounce Roll""]",,"0","1"
"14","Half Twist to Front Drop","Front","1 1","0.2","0","Feet","Front","Backwards take off. Also known as an Airplane",,,,,,,"0","1"
"15","Full Twist to Front Drop","Front","2 1","0.2","0","Feet","Front","Forwards take off. If you're terrified, you're porbably right",,,,,,,"0","0"
"16","To Feet (from front)","Front","1 -","0.1","0","Front","Feet",,,,,,,,"0","1"
"17","Half Twist to Feet (from front)","Front","1 1","0.2","0","Front","Feet",,,,,,,,"0","1"
"18","Full Twist to Feet (from front)","Front","1 2","0.3","0","Front","Feet",,,,,,,,"0","1"
"19","Log Roll","Front","0 2","0.2","0","Front","Front","Full twist from front to front rotating around the longitudinal axis. Not the same as Cruise (lateral axis) or a Turntable (dorso-ventral axis) both of which also start and end in front position",,,,,,,"0","0"
"20","Tom Cruise","Front","2 1 /","0.3","0","Front","Front",,,,,,,,"0","1"
"21","Turntable","Front",,"0","0","Front","Front","From front landing, spin 360 on dorso-ventral ",,,,,,,"0","1"
"22","Back Drop","Back","1 -","0.1","0","Feet","Back",,,,,"[""Half Twist to Back Drop"",""Full Twist to Back Drop"",""Half Twist to Feet (from back)"",""Full Twist to Feet (from back)"",""Cat Twist"",""Cradle"",""Corkscrew"",""Toilet Bowl""]","[""Back Pullover to Feet""]",,"0","1"
"23","Half Twist to Back Drop","Back","1 1","0.2","0","Feet","Back",,,,,,,,"0","0"
"24","Full Twist to Back Drop","Back","2 1","0.2","0","Feet","Back","Backwards take off. Just half to front with a little more",,,,,,,"0","0"
"25","To Feet (from back)","Back","1 -","0.1","0","Back","Feet",,,,,,,,"0","1"
"26","Half Twist to Feet (from back)","Back","1 1","0.2","0","Back","Feet",,,,,,,,"0","0"
"27","Full Twist to Feet (from back)","Back","1 2","0.3","0","Back","Feet",,,,,,,,"0","0"
"28","Cat Twist","Back","0 2","0.2","0","Back","Back","Full twist from back to back rotating around longitudinal axis, the same axis as normal full twists. There is no somersault rotation",,,,,,,"0","0"
"29","Cradle","Back","2 1","0.3","0","Back","Back","Starting from back, half twist to back with 180&deg; forward rotation around lateral axis",,,,,,,"0","0"
"30","Corkscrew","Back","2 3","0.5","0","Back","Back","From back landing, 1 and a half twists to back drop (with 180&deg; forward rotation). In other words a cradle with an extra full twist",,,,,,,"0","0"
"31","Toilet Bowl","Back",,"0","0","Back","Back","From back landing, try to spin 360 on dorsal axis",,,,,,,"0","0"
"32","Turnover/Bounce Roll","Front Somersault","4 - o","0.5","0","Back","Back","Front somersault from back landing to back landing",,,,,"[""Front Somersault""]",,"0","0"
"33","Front Somersault","Front Somersault","4 - o","0.5","0.1","Feet","Feet",,,,,"[""Barani""]","[""Crash Dive""]",,"0","0"
"34","Barani","Front Somersault","4 1 o","0.6","0","Feet","Feet","Front somersault with a half twist",,,,,,,"0","0"
"35","Crash Dive","Front Somersault","3 - o","0.3","0","Feet","Back","A Three quarter front somersault from feet that turns over to back landing",,,,,"[""Ball Out""]",,"0","0"
"36","Half Twist to Crash Dive","Front Somersault","3 1","0.4","0","Feet","Bacj",,,,,,,,"0","0"
"37","1 and 3 Front Somersault","Front Somersault","7 - o","0.8","0.2","Feet","Back","Landing on back. Also known as a 1 and 3 which you'll hear people say as 1 in 3. What fools",,,,,,,"0","0"
"38","Back Pullover to Feet","Back Somersault","3 -","0.3","0","Back","Feet","Three quarter back somersault from back landing",,,,,"[""Back Somersault""]",,"0","0"
"39","Back Somersault","Back Somersault","4 - o","0.5","0.1","Feet","Feet",,,,,,"[""Lazy Back""]",,"0","0"
"40","Back Somersault to Seat","Back Somersault","4 - o","0.5","0.1","Feet","Seat",,,,,,,,"0","0"
"41","Lazy Back","Back Somersault","3 - o","0.3","0","Feet","Front",,,,,,"[""Cody""]",,"0","0"
"42","Cody","Back Somersault","5 - o","0.6","0.1","Front","Front","Any somersault from front landing. Usually 1 and a quarter back somersault from front to feet but 1 and a quarter front somersaulting cody is also seen",,,,,"[""Back Somersault to back""]",,"0","0"
"43","Ball Out","Ball Outs","5 - o","0.6","0","Back","Back","1 and a quarter front somersault from back landing to feet",,,,,"[""1 and 3 Front Somersault""]",,"0","0"
"44","Barani Ball Out","Ball Outs","5 1 o","0.7","0","Back","Feet","1 and a quarter front somersault from back landing with a half twist to feet",,,,,,,"0","0"
"45","Baby Fliffus","Ball Outs","5 1 -","0.7","0","Back","Feet","From back landing, 1 and a quarter front somersault to feet with early half twist. Different move to barani ball-out, though it involves the same amount of rotation and twist from the same take off position.",,,,,,,"0","0"
"46","Rudy Ball Out","Ball Outs","5 3 /","0.9","0","Back","Feet","1 and a quarter front somersault from back landing with 1 and a half twists to feet",,,,,,,"0","0"
"47","Randy Ball Out","Ball Outs","5 5 /","1.1","0","Back","Feet","1 and a quarter front somersault from back landing with 2 and a half twists to feet",,,,,,,"0","0"
"48","Adolf Ball Out","Ball Outs","5 7 /","1.3","0","Back","Feet","1 and a quarter front somersault from back landing with 3 and a half twists to feet 0.o",,,,,,,"0","0"
"49","Half Out Ball Out","Ball Outs","9 - 1 o","1.2","0.2","Back","Feet","Double somersault from back landing with 1 twist to feet",,,,,,,"0","0"
"50","Rudolph / Rudi","Twisting Single Somersault","4 3 /","0.8","0","Feet","Feet","Single front somersault with 1 and a half twists",,,,,,,"0","0"
"51","Randolph / Randy","Twisting Single Somersault","4 5 /","1","0","Feet","Feet","Single front somersault with 2 and a half twists",,,,,,,"0","0"
"52","Adolph/Ady","Twisting Single Somersault","4 7 /","1.2","0","Feet","Feet","3 and a half twisting front somersault. Also known as an Ady",,,,,,,"0","0"
"53","Periwinkle","Twisting Single Somersault","7 2 - o","1","0.2","Feet","Feet","1 and three quarter front somersault with full twist in the first somersault",,,,,,,"0","0"
"54","Full","Twisting Single Somersault","4 2 /","0.7","0","Feet","Feet","Single back somersault with a full twist",,,,,,,"0","0"
"55","Double Full","Twisting Single Somersault","4 4 /","0.9","0","Feet","Feet","Single back somersault with 2 full twists",,,,,,,"0","0"
"56","Double Front","Double Front Somersaults","8 - - o","1","0.2","Feet","Feet","Double front somersault",,,,,,,"0","0"
"57","Double Bounce-Roll","Double Front Somersaults","8 - - o","1","0.2","Back","Back","Double front somersault from back landing to back landing",,,,,,,"0","0"
"58","Half Out","Double Front Somersaults","8 - 1 o","1.1","0.2","Feet","Feet","Double front somersault with a half twist in the 2nd somersault.",,,,,,,"0","0"
"59","Rudi Out","Double Front Somersaults","8 - 3 o","1.3","0.2","Feet","Feet","Double front somersault with 1 and a half twists in the 2nd somersult",,,,,,,"0","0"
"60","Randy Out","Double Front Somersaults","8 - 5 o","1.5","0.2","Feet","Feet","Double front somersault with 2 and a half twists in the 2nd somersult",,,,,,,"0","0"
"61","Half In - Back Out","Double Front Somersaults","8 1 - o","1.1","0.2","Feet","Feet","Double front somersault with a half twist in the 1st somersault so the 2nd is a back somersault",,,,,,,"0","0"
"62","Full In - Half Out","Double Front Somersaults","8 2 1 o","1.3","0.2","Feet","Feet","Double front somersault with a full twist in the 1st somersault and a half twist in the 2nd",,,,,,,"0","0"
"63","Full In - Rudi Out","Double Front Somersaults","8 2 3 o","1.5","0.2","Feet","Feet","Double front somersault with a full twist in the 1st somersault and 1 and a half twists in the 2nd",,,,,,,"0","0"
"64","Full In - Double Full Out","Double Front Somersaults","8 2 4 o","1.6","0.2","Feet","Feet","Double front somersault with a full twist in the 1st somersault and two full twists in the 2nd",,,,,,,"0","0"
"65","2 and three quarter Front Somersault","Double Front Somersaults","11 - - - o","1.3","0.2","Feet","Back",,,,,,,,"0","0"
"66","Double Back","Double Back Somersaults","8 - - o","1","0.2","Feet","Feet","Double back somersault",,,,,,,"0","0"
"67","Miller","Double Back Somersaults","8 2 1 o","1.6","0.2","Feet","Feet","Double back somersault with a full twist in the 1st and a half twist in the second",,,,,,,"0","0"
"68","Poliarush/Miller Plus","Double Back Somersaults","8 4 4 o","1.8","0.2","Feet","Feet","Double back somersault with 2 twists in each. Also known as a killer. Named after",,,,,,,"0","0"
"69","Half In - Half Out","Double Back Somersaults","8 1 1 o","1.2","0.2","Feet","Feet","Double back somersault with a half twist in each somersault",,,,,,,"0","0"
"70","Half In - Rudi Out","Double Back Somersaults","8 1 3 o","1.4","0.2","Feet","Feet","Double back somersault with a half twist in the 1st somersault and 1 and a half twists in the 2nd",,,,,,,"0","0"
"71","Half In - Randy Out","Double Back Somersaults","8 1 5 o","1.6","0.2","Feet","Feet","Double back somersault with a half twist in the 1st somersault and 2 and a half twists in the 2nd",,,,,,,"0","0"
"72","Full In - Back Out","Double Back Somersaults","8 2 - o","1.2","0.2","Feet","Feet","Double back somersault with a full twist in the 1st somersault",,,,,,,"0","0"
"73","Back In - Full Out","Double Back Somersaults","8 - 2 o","1.2","0.2","Feet","Feet","Double back somersault with a full twist in the 2nd somersault",,,,,,,"0","0"
"74","Full In - Full Out","Double Back Somersaults","8 2 2 o","1.4","0.2","Feet","Feet","Double back somersault with a full twist in both 360&deg;s",,,,,,,"0","0"
"75","Full Out","Double Back Somersaults","8 - 2 o","1.2","0.2","Feet","Feet","Double back somersault with a full twist in the 2nd somersault",,,,,,,"0","0"
"76","Triffus","Tripples +","12 - - 1 <","1.8","0","Feet","Feet","Can't even...",,,,,,,"0","0"
"77","Half Out Triffus","Tripples +","12 - - 1 o","1.7","0.3","Feet","Feet","Triple somersault with a half twist in the last somersault.",,,,,,,"0","0"
"78","Rudi Out Triffus","Tripples +","12 - - 3 o","1.8","0.2","Feet","Feet","Triple front somersault with 1 and a half twists",,,,,,,"0","0"
"79","Half In Half Out Triffus","Tripples +","12 1 - 1 o","1.8","0.3","Feet","Feet","Triple back somersault with a half twist in the 1st somersault and a half twist in 3rd somersault",,,,,,,"0","0"
"80","Half In Rudi Out Triffus","Tripples +","12 1 - 3 o","2","0.3","Feet","Feet","Triple back somersault with a half twist in the 1st somersault and 1 and half twists in 3rd somersault",,,,,,,"0","0"
"81","Half Out Quad","Tripples +","16 - - - 1 o","2.3","0.4","Feet","Feet","Quadruple somersault with a half twist in the last somersault.",,,,,,,"0","0"
"82","Porpoise/ Dolphin","Front Somersault",,"0","0","Seat","Seat","Front somersault from seat. Mad altogether. Don't recommend. Ya really have to horse it get around.",,,,,,,"0","0"
"83","Back Somersault to back","Back Somersault","5 - /","0.6","0.1","Feet","Back",,,,,,,,"0","0"
